,text_id,reader_id,lang,spearman_r,spearman_p,measure,layer
441,7,no_9,no,0.005461666068893468,0.9431456690949283,Gaze duration,First
442,7,no_9,no,-0.13057356764535782,0.08683859403888111,Gaze duration,Middle
443,7,no_9,no,-0.08310122507964153,0.27704418674094183,Gaze duration,Last
444,7,ru_8,ru,0.03956204667162994,0.6053045030981095,Total fixation duration,First
445,7,ru_8,ru,-0.14878036626684676,0.05074848874253937,Total fixation duration,Middle
446,7,ru_8,ru,-0.09855456396463777,0.19704081672393256,Total fixation duration,Last
447,7,ru_8,ru,0.003801029986418271,0.9604152619185788,Gaze duration,First
448,7,ru_8,ru,-0.12696599005242643,0.09598981672992346,Gaze duration,Middle
449,7,ru_8,ru,-0.08329354612920721,0.2759300686383646,Gaze duration,Last
450,7,sp_8,sp,0.04352642874691167,0.5696140567998884,Total fixation duration,First
451,7,sp_8,sp,-0.14183404332247107,0.06268306938969086,Total fixation duration,Middle
452,7,sp_8,sp,-0.09581145037106398,0.20985878313276934,Total fixation duration,Last
453,7,sp_8,sp,0.008256824917661512,0.9141415736072913,Gaze duration,First
454,7,sp_8,sp,-0.11909064834924953,0.11861903043162507,Gaze duration,Middle
455,7,sp_8,sp,-0.07935127430343218,0.299375252978083,Gaze duration,Last
456,7,tr_52,tr,0.08907051961768502,0.24387149613489625,Total fixation duration,First
457,7,tr_52,tr,-0.2028466039265584,0.0074379369619310175,Total fixation duration,Middle
458,7,tr_52,tr,-0.1550173074539557,0.041702166923318275,Total fixation duration,Last
459,7,tr_52,tr,0.012623381589906923,0.869071848911123,Gaze duration,First
460,7,tr_52,tr,-0.10408118921471593,0.17296005902178707,Gaze duration,Middle
461,7,tr_52,tr,-0.06483200982716818,0.39674879545972674,Gaze duration,Last
462,8,du_8,du,0.004779594142578108,0.9564563666025464,Total fixation duration,First
463,8,du_8,du,-0.04707670687497691,0.5905157688548863,Total fixation duration,Middle
464,8,du_8,du,-0.07550177449452494,0.3877287967474078,Total fixation duration,Last
465,8,du_8,du,0.07187235388335152,0.4110129922052489,Gaze duration,First
466,8,du_8,du,-0.04164413748074392,0.6341194167592423,Gaze duration,Middle
467,8,du_8,du,-0.07638159169973781,0.38220646902549105,Gaze duration,Last
468,8,en_99,en,0.004779594142578108,0.9564563666025464,Total fixation duration,First
469,8,en_99,en,-0.04707670687497691,0.5905157688548863,Total fixation duration,Middle
470,8,en_99,en,-0.07550177449452494,0.3877287967474078,Total fixation duration,Last
471,8,en_99,en,0.07187235388335152,0.4110129922052489,Gaze duration,First
472,8,en_99,en,-0.04164413748074392,0.6341194167592423,Gaze duration,Middle
473,8,en_99,en,-0.07638159169973781,0.38220646902549105,Gaze duration,Last
474,8,fi_9,fi,0.05816610726272941,0.5060276784708206,Total fixation duration,First
475,8,fi_9,fi,-0.05400883484151355,0.5369499930338137,Total fixation duration,Middle
476,8,fi_9,fi,-0.09978474000469285,0.25313582238738463,Total fixation duration,Last
477,8,fi_9,fi,0.0929086624294794,0.2874811650669287,Gaze duration,First
478,8,fi_9,fi,-0.055753358974097396,0.5238605283243231,Gaze duration,Middle
479,8,fi_9,fi,-0.09994797033288784,0.2523563986770549,Gaze duration,Last
480,8,ge_9,ge,0.03320716989216596,0.704351123198808,Total fixation duration,First
481,8,ge_9,ge,-0.04085349057854949,0.6405763504778357,Total fixation duration,Middle
482,8,ge_9,ge,-0.07151018659266892,0.41338061907731116,Total fixation duration,Last
483,8,ge_9,ge,0.08768019097948397,0.3155875013570837,Gaze duration,First
484,8,ge_9,ge,-0.054722967527366585,0.5315721416386975,Gaze duration,Middle
485,8,ge_9,ge,-0.0843441711469991,0.3344226199248326,Gaze duration,Last
486,8,gr_9,gr,0.013731751359402574,0.8753434969970358,Total fixation duration,First
487,8,gr_9,gr,-0.05222350312688097,0.5505118246409704,Total fixation duration,Middle
488,8,gr_9,gr,-0.08022260536007589,0.3586609143770292,Total fixation duration,Last
489,8,gr_9,gr,0.07227532875608288,0.4083879680253818,Gaze duration,First
490,8,gr_9,gr,-0.04819375439956743,0.5817218628477504,Gaze duration,Middle
491,8,gr_9,gr,-0.08330357780475613,0.3404413976007832,Gaze duration,Last
492,8,he_7,he,0.01661888778935126,0.8494170090175701,Total fixation duration,First
493,8,he_7,he,-0.04247559196498709,0.6273588028442383,Total fixation duration,Middle
494,8,he_7,he,-0.07257628467369237,0.4064339608584059,Total fixation duration,Last
